study,experiment,expnum,stimulus,n_participants,n_trials,rt_all_9,rt_missing,rt_mean,rt_sd,error_missing_original,error_ori_deb_missing,outliers_q,outliers_sd,outliers_rt,n_outliers,outlier_percentage,Masked,Distractor,Response_method,Time_pressure
Abreo et al. (2023),Experiment 1,1,Orientation,36,6754,0,0,2.2174563057718455,1.210272135763055,0,419,401,53,21,419,6.2037311222978975,1,1,Mouse,1
Blonde et al. (2023),Experiment 2,1,Orientation,17,2380,0,0,1.6121432038227472,2.0538670122633436,0,144,132,33,13,144,6.050420168067227,0,1,Mouse,0
Ceylan & Pascucci (2023),Experiment 2,1,Orientation,20,6000,0,0,1.8443798538990601,3.9868066685381955,0,158,148,38,12,158,2.6333333333333333,0,2,Mouse,0
Ceylan et al. (2021),Experiment 1,1,Orientation,24,9600,0,0,1.6322476156847472,0.9879680048454202,0,241,231,56,12,241,2.5104166666666665,1,0,Mouse,0
Ceylan et al. (2021),Experiment 2,2,Orientation,24,9600,0,0,1.4434452052816424,0.7514462494634545,0,207,205,70,2,207,2.15625,1,0,Mouse,0
Chetverikov & Jehee (2023),Experiment 1,1,Motion,18,19836,1,0,9.0,0.0,0,1956,678,85,0,1956,9.86085904416213,0,0,Buttons,9
Cicchini et al. (2018),Experiment 2,1,Orientation,6,12300,0,0,1.8989252084083037,1.4506266229103595,0,270,265,57,5,270,2.195121951219512,1,0,Mouse,0
Fischer & Whitney (2014),Experiment 1b,1,Orientation,4,3328,1,0,9.0,0.0,0,129,129,37,0,129,3.8762019230769234,1,0,Keys,9
Fischer et al. (2020),Experiment 1,1,Motion,20,32640,0,0,1.4337205600490197,1.8748588421798815,0,1866,1028,196,50,1866,5.716911764705882,1,1,Mouse,1
Fischer et al. (2020),Experiment 2,2,Motion,49,79968,0,0,1.5887945371135954,2.131246616581565,0,3972,2099,377,187,3972,4.9669867947178865,1,1,Mouse,1
Fischer et al. (2020),Experiment 3,3,Motion,20,32640,0,0,1.7028327376531862,2.1645962487987824,0,2433,987,80,71,2433,7.454044117647059,1,1,Mouse,1
Fischer et al. (2020),Experiment 4,4,Motion,20,31008,0,0,1.5074795493098554,2.369584240762898,0,3316,764,28,63,3316,10.694014447884417,1,1,Mouse,1
Gallagher & Benton (2022),Experiment 1,1,Orientation,20,16420,1,0,9.0,0.0,0,504,504,65,0,504,3.069427527405603,1,0,Buttons,9
Houborg et al. (2023),Experiment 1,1,Orientation,15,3000,0,0,2.230301229268633,1.9808672164578789,0,154,146,31,9,154,5.133333333333334,1,2,Mouse,1
Houborg et al. (2023),Experiment 2,2,Orientation,16,3200,0,0,2.0534375431170826,1.2228406322689478,0,168,161,32,7,168,5.25,1,2,Mouse,1
Houborg et al. (2023b),Experiment 1,1,Orientation,14,13920,0,0,1.6398843423635903,0.7535259400202563,0,304,301,70,5,304,2.1839080459770113,0,1,Mouse,0
Houborg et al. (2023b),Experiment 2,2,Orientation,18,17800,0,0,1.6086485466820177,0.8444050841737439,0,216,204,33,12,216,1.2134831460674158,0,1,Mouse,0
Kondo et al. (2022),Experiment 1,1,Orientation,20,20000,0,0,1.4966439396969033,0.9875681201453349,0,780,760,160,32,780,3.9,1,0,Unknown,0
Kondo et al. (2022),Experiment 2,2,Orientation,20,20000,0,0,1.4610190277275572,0.9572677069309712,0,578,567,131,15,578,2.8899999999999997,1,0,Unknown,0
Kondo et al. (2022),Experiment 3,3,Orientation,20,20000,0,0,1.390129008757975,0.8682875163160798,0,683,662,203,27,683,3.415,1,0,Unknown,0
Kondo et al. (2022),Experiment 4,4,Orientation,16,16000,0,0,1.4750089999407456,0.9262797698576991,0,592,585,108,12,592,3.6999999999999997,1,0,Unknown,0
Lau & Maus (2019),Experiment 1,1,Orientation,29,15404,0,920,1.6585420451089183,1.9468034355396444,920,1528,577,112,39,608,3.947026746299662,1,0,Mouse,2
Moon & Kwon (2022),Experiment 1,1,Motion,8,13170,0,0,0.9938738013709254,0.4533337647756583,0,384,162,23,1,384,2.915717539863326,0,0,Touchpad,0
Moon et al. (2023),Experiment 1,1,Motion,8,13080,0,0,1.0662660362484695,0.6912250365211989,0,233,175,16,6,233,1.7813455657492354,0,0,Touchpad,0
Moon et al. (2023),Experiment 2,2,Motion,8,13170,0,0,0.9938738013709254,0.4533337647756583,0,384,162,23,1,384,2.915717539863326,0,0,Touchpad,0
Moon et al. (2023),Experiment 3,3,Motion,8,13080,0,0,1.445188920887825,1.2259197630556948,0,209,169,18,4,209,1.5978593272171253,0,0,Touchpad,0
Ozkirli & Pascucci (2023),Experiment 1,1,Orientation,16,6390,0,0,1.425281466776184,1.161805443935722,0,164,154,31,14,164,2.566510172143975,1,0,Mouse,0
Ozkirli & Pascucci (2023),Experiment 2,2,Orientation,16,6338,0,0,1.4928116730997225,0.8552832884181805,0,131,127,26,4,131,2.0668980751025563,1,0,Mouse,0
Ozkirli & Pascucci (2023),Experiment 3,3,Orientation,24,9600,0,0,1.041325850612866,0.8760776067728707,0,357,356,47,3,357,3.71875,1,0,Mouse,0
Pascucci et al. (2024),Experiment 1,1,Orientation,26,20800,0,0,2.005288463805489,0.8108212346975535,6240,6916,669,105,12,676,3.25,1,0,Keys,2
Sadil et al. (2024),Experiment 1,1,Orientation,16,24240,0,0,1.0311948445960308,0.6590130825391981,0,689,679,191,16,689,2.842409240924092,1,0,Mouse,0
Samaha et al. (2019),Experiment 1,1,Orientation,20,5930,1,0,9.0,0.0,0,429,429,15,0,429,7.234401349072512,0,0,Mouse,9
